# ID,label,height,root_density,area,shape_index,linearity_top,planarity_top,sphericity_top,omnivariance_top,anisotropy_top,change_of_curvature_top,num_points
 170.00000,   1.00000,   8.24000,   0.00755,   7.79099,   0.68924,   0.24195,   0.71647,   0.04154,   0.08262,   0.95842,   0.02308, 265.00000
 171.00000,   1.00000,   8.16000,   0.02007,  10.03469,   0.77194,   0.46269,   0.46256,   0.07472,   0.10343,   0.92525,   0.04635, 299.00000
 172.00000,   1.00000,  11.43000,   0.01596,   7.44543,   0.62733,   0.62648,   0.34766,   0.02584,   0.11027,   0.97414,   0.01847, 188.00000
 173.00000,   1.00000,   6.73000,   0.00727,   7.71157,   0.68925,   0.48120,   0.47581,   0.04296,   0.09344,   0.95701,   0.02751, 275.00000
 174.00000,   1.00000,  13.42000,   0.01429,   7.38714,   0.67673,   0.62456,   0.32385,   0.05158,   0.20760,   0.94841,   0.03614, 140.00000
 175.00000,   1.00000,   5.70000,   0.02703,   6.04230,   0.56036,   0.85234,   0.10939,   0.03826,   0.16867,   0.96173,   0.03226, 148.00000
 176.00000,   1.00000,   9.68000,   0.00896,  11.13019,   0.82374,   0.40367,   0.50076,   0.09554,   0.13006,   0.90443,   0.05647, 335.00000
 177.00000,   1.00000,   6.16000,   0.00730,   9.19187,   0.74231,   0.36288,   0.61227,   0.02481,   0.07273,   0.97515,   0.01493, 274.00000
 178.00000,   1.00000,   9.35000,   0.02532,   7.55716,   0.67118,   0.66617,   0.30232,   0.03150,   0.11687,   0.96848,   0.02307, 158.00000
 179.00000,   1.00000,   6.12000,   0.01149,   7.92737,   0.69053,   0.18391,   0.79514,   0.02090,   0.06450,   0.97906,   0.01138, 261.00000
 180.00000,   1.00000,   5.98000,   0.02027,   7.44340,   0.68287,   0.54745,   0.36292,   0.08962,   0.21532,   0.91037,   0.05811, 148.00000
 181.00000,   1.00000,   8.03000,   0.00785,  11.50012,   0.83120,   0.07403,   0.83870,   0.08723,   0.09926,   0.91273,   0.04333, 382.00000
 182.00000,   1.00000,   6.59000,   0.00292,   9.18636,   0.75190,   0.38547,   0.55597,   0.05852,   0.09459,   0.94144,   0.03498, 342.00000
 183.00000,   1.00000,   9.82000,   0.00806,  10.47317,   0.75919,   0.31975,   0.60211,   0.07810,   0.10360,   0.92187,   0.04442, 372.00000
 184.00000,   1.00000,   8.20000,   0.00285,  11.10201,   0.77506,   0.31168,   0.66408,   0.02420,   0.06901,   0.97576,   0.01413, 351.00000
 185.00000,   1.00000,   5.97000,   0.00815,  13.31413,   0.87027,   0.11236,   0.81874,   0.06887,   0.10493,   0.93110,   0.03520, 368.00000
 186.00000,   1.00000,   9.97000,   0.01471,   8.43776,   0.69141,   0.37893,   0.60988,   0.01117,   0.06158,   0.98880,   0.00684, 272.00000
 187.00000,   1.00000,  10.05000,   0.01597,  10.71248,   0.74172,   0.49014,   0.41090,   0.09893,   0.13283,   0.90104,   0.06150, 313.00000
 188.00000,   1.00000,   9.98000,   0.01240,  10.70871,   0.73716,   0.57146,   0.25507,   0.17344,   0.18682,   0.82654,   0.10827, 242.00000
 189.00000,   1.00000,   8.89000,   0.02041,  11.29787,   0.80441,   0.55653,   0.37215,   0.07130,   0.12292,   0.92867,   0.04707, 343.00000
 190.00000,   1.00000,   6.58000,   0.00651,   8.93464,   0.73631,   0.20130,   0.74906,   0.04959,   0.08079,   0.95037,   0.02683, 307.00000
 191.00000,   1.00000,  14.46000,   0.00676,   8.59181,   0.69134,   0.55128,   0.43581,   0.01287,   0.06056,   0.98710,   0.00881, 296.00000
 192.00000,   1.00000,   5.07000,   0.01894,   8.67410,   0.75889,   0.17881,   0.75211,   0.06904,   0.11039,   0.93092,   0.03653, 264.00000
 193.00000,   1.00000,   5.48000,   0.00613,   8.18776,   0.70800,   0.69031,   0.28400,   0.02567,   0.15838,   0.97431,   0.01923, 163.00000
 194.00000,   1.00000,   8.20000,   0.00255,  12.28750,   0.83575,   0.42421,   0.55494,   0.02082,   0.07010,   0.97915,   0.01304, 392.00000
 195.00000,   1.00000,   8.42000,   0.00990,   5.40282,   0.56708,   0.83468,   0.11857,   0.04674,   0.23999,   0.95325,   0.03856, 101.00000
 196.00000,   1.00000,   5.83000,   0.01724,   8.93780,   0.75811,   0.55657,   0.39501,   0.04841,   0.17981,   0.95158,   0.03245, 174.00000
 197.00000,   1.00000,   5.64000,   0.01899,   9.20600,   0.74969,   0.22162,   0.74180,   0.03655,   0.07571,   0.96341,   0.02014, 316.00000
 198.00000,   1.00000,   7.90000,   0.01429,   8.04453,   0.70796,   0.36848,   0.58720,   0.04428,   0.08442,   0.95569,   0.02642, 280.00000
 199.00000,   1.00000,  14.23000,   0.01463,  10.00127,   0.77768,   0.33061,   0.60495,   0.06442,   0.18485,   0.93556,   0.03716, 205.00000
 200.00000,   2.00000,   5.64000,   0.01478,  13.04739,   0.53045,   0.94468,   0.01751,   0.03781,   0.24198,   0.96218,   0.03459, 203.00000
 201.00000,   2.00000,   7.82000,   0.00504, 277.54947,   3.63619,   0.81397,   0.12001,   0.06601,   0.27296,   0.93398,   0.05273, 993.00000
 202.00000,   2.00000,   8.99000,   0.01163,  21.95217,   0.53693,   0.95634,   0.03941,   0.00425,   0.18424,   0.99575,   0.00406, 344.00000
 203.00000,   2.00000,   7.30000,   0.02632,  14.53158,   0.53761,   0.92981,   0.06234,   0.00784,   0.16293,   0.99215,   0.00728, 266.00000
 204.00000,   2.00000,   7.50000,   0.00375,1275.06934,   8.45624,   0.95376,   0.04307,   0.00317,   0.20329,   0.99682,   0.00303,2133.00000
 205.00000,   2.00000,   8.97000,   0.03738,   5.97937,   0.34859,   0.98880,   0.00925,   0.00194,   0.14007,   0.99805,   0.00192, 107.00000
 206.00000,   2.00000,   6.59000,   0.02027,   4.63516,   0.25238,   0.97706,   0.01548,   0.00745,   0.15234,   0.99254,   0.00723, 148.00000
 207.00000,   2.00000,   8.17000,   0.00907,  51.38210,   0.96736,   0.97380,   0.01524,   0.01096,   0.22379,   0.98904,   0.01057, 441.00000
 208.00000,   2.00000,   4.15000,   0.00844, 217.65511,   2.89222,   0.94880,   0.01352,   0.03767,   0.19364,   0.96232,   0.03459, 829.00000
 209.00000,   2.00000,   7.10000,   0.00468,  27.33938,   0.44245,   0.63265,   0.35077,   0.01657,   0.20804,   0.98342,   0.01197, 641.00000
 210.00000,   2.00000,   8.13000,   0.00486,  77.63789,   1.09075,   0.89602,   0.08623,   0.01775,   0.22344,   0.98224,   0.01582, 823.00000
 211.00000,   2.00000,   6.63000,   0.04348,   3.91519,   0.24720,   0.97225,   0.02123,   0.00651,   0.13816,   0.99349,   0.00629, 138.00000
 212.00000,   2.00000,   8.19000,   0.02885,   7.11577,   0.30885,   0.96428,   0.02532,   0.01040,   0.18061,   0.98960,   0.00994, 208.00000
 213.00000,   2.00000,   9.45000,   0.00333,1887.22937,   9.22680,   0.94942,   0.04314,   0.00744,   0.22732,   0.99256,   0.00703,2705.00000
 214.00000,   2.00000,   5.21000,   0.02000,   6.14695,   0.20865,   0.97832,   0.01877,   0.00291,   0.14950,   0.99709,   0.00284, 200.00000
